Medicine Name,Brand,Batch Number,Expiry Date,MRP,Selling Price,Quantity,Sold As,Minimum Order Quantity,Warn Below,Available to Order
Amlokind 5,Amlokind,AMK5-2601A,2028-02-03,62.00,49.60,400,STRIP,10,40,Yes
Ascoril LS Syrup,Ascoril,ASC-LS-4471,2027-10-06,118.00,94.40,150,BOTTLE,5,20,Yes
Aspirin 75,Ecosprin,ECO75-B8823,2028-04-13,12.50,10.00,800,STRIP,20,80,Yes
Atorva 10,Atorva,ATV10-3390,2027-12-25,96.00,76.80,300,STRIP,10,30,Yes
Azee 500,Azee,AZE500-K221,2027-08-27,132.00,105.60,220,STRIP,5,25,Yes
Brufen 400,Brufen,BRF400-7712,2027-11-10,44.00,35.20,500,STRIP,10,50,Yes
Cetzine 10,Cetzine,CTZ10-9905,2028-07-12,28.00,22.40,650,STRIP,10,60,Yes
Clopilet A 75,Clopilet,CLP-A75-5514,2027-08-12,108.00,86.40,180,STRIP,5,20,Yes
Dettol Antiseptic Liquid,Dettol,DTL250-2287,2029-01-28,145.00,116.00,240,BOTTLE,6,24,Yes
Digene Gel,Digene,DIG200-6634,2027-12-05,165.00,132.00,190,BOTTLE,6,20,Yes
Eldoper,Eldoper,ELD-1102,2028-01-14,36.00,28.80,300,STRIP,10,30,Yes
Eltroxin 100mcg,Eltroxin,ELT100-8846,2028-05-13,172.00,137.60,260,STRIP,5,25,Yes
